@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
9,14,2,100,100,100,100,1,14,383,382,West
9,13,2,100,100,100,100,1,13,382,381,South
9,12,2,100,100,100,100,1,12,381,380,South
9,13,2,100,100,100,100,1,13,380,379,North
9,12,2,100,100,100,100,1,12,379,578,South
8,12,1,100,100,100,100,1,13,578,577,West
8,11,1,100,100,100,100,1,12,577,576,South
8,10,1,100,100,100,100,1,11,576,575,South
8,9,1,100,100,100,100,1,10,575,574,South
8,8,1,100,100,100,100,1,11,574,573,South
8,7,1,100,100,100,100,1,12,573,572,South
8,6,1,100,100,100,100,1,13,572,571,South
8,5,1,100,100,100,100,1,14,571,570,South
12,11,4,12,12,8,8,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,6,2,100,100,100,100,1,9,390,389,West
11,6,2,100,100,100,100,1,10,389,388,West
12,11,4,12,12,8,8,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,11,4,12,12,8,8,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,6,2,100,100,100,100,1,9,390,389,West
11,6,2,100,100,100,100,1,10,389,388,West
10,6,2,100,100,100,100,1,11,388,387,West
9,6,2,100,100,100,100,1,12,387,386,West
8,6,2,100,100,100,100,1,13,386,385,West
7,6,2,100,100,100,100,1,14,385,384,West
