@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-6,11-12'

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute movimientofantasma1 {North,South,East,West,Stop,None}
@attribute movimientofantasma2 {North,South,East,West,Stop,None}
@attribute movimientofantasma3 {North,South,East,West,Stop,None}
@attribute movimientofantasma4 {North,South,East,West,Stop,None}
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
8,4,Stop,Stop,Stop,North,555,East
9,4,Stop,Stop,Stop,West,554,East
10,7,Stop,Stop,Stop,North,550,East
11,5,Stop,Stop,Stop,North,647,East
12,5,Stop,Stop,Stop,South,646,East
13,5,Stop,Stop,Stop,West,645,East
14,5,Stop,Stop,Stop,South,644,East
15,5,Stop,Stop,Stop,South,643,East
16,5,Stop,Stop,Stop,West,642,East
17,5,Stop,Stop,Stop,North,641,East
18,5,Stop,Stop,Stop,North,640,East
2,11,West,North,East,North,-2,East
3,11,West,East,East,North,-3,East
4,11,West,South,East,East,-4,East
5,11,West,East,East,West,-5,East
6,11,South,North,West,South,-6,East
7,11,East,North,East,South,-7,East
8,11,North,West,East,East,-8,East
9,11,South,West,South,East,-9,East
10,11,South,East,West,West,-10,East
11,11,North,East,East,West,-11,East
12,11,East,East,South,East,-12,East
13,11,West,West,East,West,-13,East
14,11,East,South,South,West,-14,East
2,7,Stop,West,Stop,Stop,652,East
3,7,Stop,South,Stop,Stop,651,East
4,7,Stop,West,Stop,Stop,650,East
5,7,Stop,West,Stop,Stop,649,East
6,7,Stop,North,Stop,Stop,648,East
7,7,Stop,West,Stop,Stop,647,East
13,10,East,East,North,North,-4,East
14,10,North,East,North,East,-5,East
15,13,South,West,North,South,-9,East
16,13,South,West,West,Stop,190,East
17,13,North,South,North,Stop,189,East
5,6,South,Stop,Stop,Stop,566,East
6,6,South,Stop,Stop,Stop,565,East
7,6,East,Stop,Stop,Stop,564,East
13,10,South,South,South,North,-2,East
14,10,West,West,South,West,-3,East
15,10,South,West,South,South,-4,East
16,10,East,West,North,North,-5,East
17,10,East,West,South,East,-6,East
18,10,East,West,North,West,-7,East
13,11,North,North,North,North,79,East
