@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R8-11

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
13,12,1,3,3,9223372036854776000,9223372036854776000,0,999999999,644,East
14,12,1,3,3,9223372036854776000,9223372036854776000,0,999999999,643,East
15,12,1,3,3,9223372036854776000,9223372036854776000,0,999999999,642,East
13,8,4,9,9,8,8,1,6,-16,East
14,8,4,10,10,8,8,1,5,-17,East
15,8,4,12,12,9,9,1,4,-18,East
7,7,3,6,6,9223372036854776000,9223372036854776000,1,13,167,East
8,7,3,7,7,9223372036854776000,9223372036854776000,1,12,166,East
9,7,3,9,9,9223372036854776000,9223372036854776000,1,11,165,East
10,7,3,11,11,9223372036854776000,9223372036854776000,1,10,164,East
11,10,3,16,16,9223372036854776000,9223372036854776000,1,8,160,East
12,10,3,17,17,9223372036854776000,9223372036854776000,1,7,159,East
12,9,2,13,13,9223372036854776000,9223372036854776000,1,6,352,East
13,9,2,15,15,9223372036854776000,9223372036854776000,1,5,351,East
14,9,1,15,15,9223372036854776000,9223372036854776000,1,4,550,East
15,9,1,15,15,9223372036854776000,9223372036854776000,1,3,549,East
16,9,1,17,17,9223372036854776000,9223372036854776000,1,2,548,East
17,9,1,18,18,9223372036854776000,9223372036854776000,1,1,547,East
16,9,1,18,18,9223372036854776000,9223372036854776000,1,2,544,East
17,9,1,19,19,9223372036854776000,9223372036854776000,1,1,543,East
18,9,1,21,21,9223372036854776000,9223372036854776000,0,999999999,642,East
2,11,4,11,11,5,5,2,13,-2,East
3,11,4,12,12,3,3,2,12,-3,East
4,11,4,12,12,3,3,2,11,-4,East
5,11,4,12,12,3,3,2,10,-5,East
6,9,4,10,10,3,3,2,7,-8,East
7,11,3,11,11,3,3,2,8,189,East
8,11,3,13,13,3,3,2,7,188,East
9,11,3,13,13,3,3,2,6,187,East
10,11,3,11,11,2,2,2,5,186,East
11,11,3,13,13,2,2,2,4,185,East
12,11,3,13,13,2,2,2,3,184,East
13,11,3,15,15,2,2,2,2,183,East
14,11,3,16,16,2,2,2,1,182,East
15,11,2,16,16,9223372036854776000,9223372036854776000,2,2,381,East
16,11,2,18,18,9223372036854776000,9223372036854776000,2,3,380,East
17,11,2,20,20,9223372036854776000,9223372036854776000,2,4,379,East
18,11,2,21,21,9223372036854776000,9223372036854776000,2,5,378,East
18,11,2,21,21,9223372036854776000,9223372036854776000,2,5,376,East
18,11,2,21,21,9223372036854776000,9223372036854776000,2,5,374,East
2,4,1,1,1,9223372036854776000,9223372036854776000,0,999999999,741,East
3,4,1,1,1,9223372036854776000,9223372036854776000,0,999999999,740,East
17,4,2,16,16,24,24,1,6,384,West
16,4,2,16,16,22,22,1,7,383,West
15,4,2,14,14,20,20,1,8,382,West
14,4,2,14,14,20,20,1,9,381,West
13,4,2,14,14,19,19,1,10,380,West
12,4,2,14,14,17,17,1,11,379,West
11,4,2,14,14,17,17,1,12,378,West
10,4,2,12,12,17,17,1,13,377,West
9,5,2,9,9,15,15,1,13,375,West
8,6,2,5,5,14,14,1,13,373,West
7,7,2,3,3,10,10,1,13,371,West
6,7,2,1,1,8,8,1,14,370,West
5,7,1,9223372036854776000,9223372036854776000,8,8,1,15,569,West
4,7,1,9223372036854776000,9223372036854776000,8,8,1,16,568,West
14,4,4,8,8,20,20,1,9,-11,West
13,4,4,8,8,18,18,1,10,-12,West
17,11,4,11,11,15,15,0,999999999,75,West
16,11,4,10,10,13,13,0,999999999,74,West
15,11,4,8,8,13,13,0,999999999,73,West
15,11,3,7,7,13,13,0,999999999,265,West
14,11,3,6,6,11,11,0,999999999,264,West
13,11,2,6,6,9,9,0,999999999,463,West
12,11,2,6,6,9,9,0,999999999,462,West
11,11,2,8,8,7,7,0,999999999,461,West
10,11,2,10,10,5,5,0,999999999,460,West
9,11,2,10,10,3,3,0,999999999,459,West
8,11,2,12,12,3,3,0,999999999,458,West
7,11,2,12,12,5,5,0,999999999,457,West
8,3,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,5,381,West
7,3,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,6,380,West
7,4,3,2,2,9223372036854776000,9223372036854776000,2,5,166,West
6,4,3,2,2,9223372036854776000,9223372036854776000,2,6,165,West
5,4,2,2,2,9223372036854776000,9223372036854776000,2,7,364,West
4,4,2,2,2,9223372036854776000,9223372036854776000,2,8,363,West
17,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,6,637,West
16,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,5,636,West
15,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,4,635,West
14,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,1,632,West
13,11,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,728,West
12,11,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,727,West
